VAR_ID,Description,,VAR_FRED_ID
D_WILLSMLCAP,Wilshire US Small-Cap Total Market Index,,D_FRED_WILLSMLCAP
D_WILLSMLCAPGR,Wilshire US Small-Cap Growth Total Market Index,,D_FRED_WILLSMLCAPGR
D_WILLSMLCAPGRPR,Wilshire US Small-Cap Growth Price Index,,D_FRED_WILLSMLCAPGRPR
D_WILLSMLCAPPR,Wilshire US Small-Cap Price Index,,D_FRED_WILLSMLCAPPR
D_WILLSMLCAPVAL,Wilshire US Small-Cap Value Total Market Index,,D_FRED_WILLSMLCAPVAL
D_WILLSMLCAPVALPR,Wilshire US Small-Cap Value Price Index,,D_FRED_WILLSMLCAPVALPR
M_AAA,Moody's Seasoned Aaa Corporate Bond Yield,,M_FRED_AAA
M_AAA10YM,Moody's Seasoned Aaa Corporate Bond Yield Relative to Yield on 10-YearTreasury Constant Maturity,,M_FRED_AAA10YM
M_ADPMNUSNERNSA,Total Nonfarm Private Payroll Employment,,M_FRED_ADPMNUSNERNSA
M_APU0000702111,"Average Price: Bread, White, Pan (Cost per Pound/453.6 Grams) in U.S.City Average",,M_FRED_APU0000702111
M_APU0000703112,"Average Price: Ground Beef, 100% Beef (Cost per Pound/453.6 Grams) inU.S. City Average",,M_FRED_APU0000703112
M_APU0000708111,"Average Price: Eggs, Grade A, Large (Cost per Dozen) in U.S. CityAverage",,M_FRED_APU0000708111
M_APU000072610,Average Price: Electricity per Kilowatt-Hour in U.S. City Average,,M_FRED_APU000072610
M_APU0000FF1101,"Average Price: Chicken Breast, Boneless (Cost per Pound/453.6 Grams)in U.S. City Average",,M_FRED_APU0000FF1101
M_BAA,Moody's Seasoned Baa Corporate Bond Yield,,M_FRED_BAA
M_BAA10YM,Moody's Seasoned Baa Corporate Bond Yield Relative to Yield on 10-YearTreasury Constant Maturity,,M_FRED_BAA10YM
M_BOGMBASE,Monetary Base; Total,,M_FRED_BOGMBASE
M_BOGMBBM,Monetary Base; Reserve Balances,,M_FRED_BOGMBBM
M_BUSLOANSNSA,"Commercial and Industrial Loans, All Commercial Banks",,M_FRED_BUSLOANSNSA
M_CCLACBM027NBOG,"Consumer Loans: Credit Cards and Other Revolving Plans, All CommercialBanks",,M_FRED_CCLACBM027NBOG
M_CEU0500000001,"All Employees, Total Private",,M_FRED_CEU0500000001
M_CEU0500000002,"Average Weekly Hours of All Employees, Total Private",,M_FRED_CEU0500000002
M_CEU0500000003,"Average Hourly Earnings of All Employees, Total Private",,M_FRED_CEU0500000003
M_CEU0500000008,"Average Hourly Earnings of Production and Nonsupervisory Employees,Total Private",,M_FRED_CEU0500000008
M_CEU1000000001,"All Employees, Mining and Logging",,M_FRED_CEU1000000001
M_CEU1021100001,"All Employees, Oil and Gas Extraction",,M_FRED_CEU1021100001
M_CEU2000000001,"All Employees, Construction",,M_FRED_CEU2000000001
M_CEU3000000001,"All Employees, Manufacturing",,M_FRED_CEU3000000001
M_CEU3000000003,"Average Hourly Earnings of All Employees, Manufacturing",,M_FRED_CEU3000000003
M_CEU3000000007,"Average Weekly Hours of Production and Nonsupervisory Employees,Manufacturing",,M_FRED_CEU3000000007
M_CEU4142000001,"All Employees, Wholesale Trade",,M_FRED_CEU4142000001
M_CEU4200000001,"All Employees, Retail Trade",,M_FRED_CEU4200000001
M_CEU4300000001,"All Employees, Transportation and Warehousing",,M_FRED_CEU4300000001
M_CEU4348100001,"All Employees, Air Transportation",,M_FRED_CEU4348100001
M_CEU4348400001,"All Employees, Truck Transportation",,M_FRED_CEU4348400001
M_CEU5000000001,"All Employees, Information",,M_FRED_CEU5000000001
M_CEU5500000001,"All Employees, Financial Activities",,M_FRED_CEU5500000001
M_CEU6000000001,"All Employees, Professional and Business Services",,M_FRED_CEU6000000001
M_CEU6500000001,"All Employees, Private Education and Health Services",,M_FRED_CEU6500000001
M_CEU7000000001,"All Employees, Leisure and Hospitality",,M_FRED_CEU7000000001
M_CEU8000000001,"All Employees, Other Services",,M_FRED_CEU8000000001
M_CEU9000000001,"All Employees, Government",,M_FRED_CEU9000000001
M_CNP16OV,Population Level,,M_FRED_CNP16OV
M_CONSUMERNSA,"Consumer Loans, All Commercial Banks",,M_FRED_CONSUMERNSA
M_CPIAPPNS,Consumer Price Index for All Urban Consumers: Apparel in U.S. CityAverage,,M_FRED_CPIAPPNS
M_CPIAUCNS,Consumer Price Index for All Urban Consumers: All Items in U.S. CityAverage,,M_FRED_CPIAUCNS
M_CPIEDUNS,Consumer Price Index for All Urban Consumers: Education andCommunication in U.S. City Average,,M_FRED_CPIEDUNS
M_CPIENGNS,Consumer Price Index for All Urban Consumers: Energy in U.S. CityAverage,,M_FRED_CPIENGNS
M_CPILFENS,Consumer Price Index for All Urban Consumers: All Items Less Food andEnergy in U.S. City Average,,M_FRED_CPILFENS
M_CPIMEDNS,Consumer Price Index for All Urban Consumers: Medical Care in U.S.City Average,,M_FRED_CPIMEDNS
M_CPIUFDNS,Consumer Price Index for All Urban Consumers: Food in U.S. CityAverage,,M_FRED_CPIUFDNS
M_CREACBM027NBOG,"Real Estate Loans: Commercial Real Estate Loans, All Commercial Banks",,M_FRED_CREACBM027NBOG
M_CSUSHPINSA,S&P/Case-Shiller U.S. National Home Price Index,,M_FRED_CSUSHPINSA
M_CURRCIR,Currency in Circulation,,M_FRED_CURRCIR
M_CUUR0000SA0R,Consumer Price Index for All Urban Consumers: Purchasing Power of theConsumer Dollar in U.S. City Average,,M_FRED_CUUR0000SA0R
M_CUUR0000SAF11,Consumer Price Index for All Urban Consumers: Food at Home in U.S.City Average,,M_FRED_CUUR0000SAF11
M_CUUR0000SAH1,Consumer Price Index for All Urban Consumers: Shelter in U.S. CityAverage,,M_FRED_CUUR0000SAH1
M_CUUR0000SAM1,Consumer Price Index for All Urban Consumers: Medical Care Commoditiesin U.S. City Average,,M_FRED_CUUR0000SAM1
